TaxaDeChegadaMedia;TempoDeServicoMedio;NumServidores;RequisicoesSubmetidas;RequisicoesConcluidas;TempoMedioDeResposta;TamanhoMedioDaFila
10,000000;0,880000;10;117;101;1,243170;6,128713
12,000000;0,880000;10;132;108;1,025183;8,157407
14,000000;0,880000;10;110;96;1,261047;5,385417
16,000000;0,880000;10;168;114;1,630259;20,298246
18,000000;0,880000;10;158;110;1,821284;20,063636
20,000000;0,880000;10;200;117;2,711432;45,367521
22,000000;0,880000;10;217;131;1,948235;32,007634
24,000000;0,880000;10;264;112;2,675476;59,892857
26,000000;0,880000;10;257;118;2,340727;48,593220
28,000000;0,880000;10;251;114;2,790239;60,026316
30,000000;0,880000;10;314;122;3,247552;93,918033
32,000000;0,880000;10;321;121;2,734265;70,330579
34,000000;0,880000;10;341;136;2,850674;87,852941
36,000000;0,880000;10;362;147;3,239849;102,932964
38,000000;0,880000;10;378;133;3,191987;112,624060
40,000000;0,880000;10;380;105;3,609583;111,390476
42,000000;0,880000;10;443;125;3,730237;136,384000
44,000000;0,880000;10;484;102;3,995394;176,950980
46,000000;0,880000;10;464;125;3,894939;162,376000
48,000000;0,880000;10;475;112;3,582761;146,991071
