TaxaDeChegadaMedia;TempoDeServicoMedio;NumServidores;RequisicoesSubmetidas;RequisicoesConcluidas;TempoMedioDeResposta;TamanhoMedioDaFila
1,000000;0,880000;1;14;9;2,365752;2,555556
1,000000;0,880000;2;9;8;1,454144;0,000000
1,000000;0,880000;3;9;9;0,836396;0,000000
1,000000;0,880000;4;6;6;0,977572;0,000000
1,000000;0,880000;5;3;3;0,682364;0,000000
1,000000;0,880000;6;8;8;0,890128;0,000000
1,000000;0,880000;7;8;8;0,702232;0,000000
1,000000;0,880000;8;5;5;0,649983;0,000000
1,000000;0,880000;9;9;9;0,976639;0,000000
1,000000;0,880000;10;7;7;0,888928;0,000000
1,000000;0,880000;11;10;10;1,049139;0,000000
1,000000;0,880000;12;12;12;0,785203;0,000000
1,000000;0,880000;13;8;8;0,408099;0,000000
1,000000;0,880000;14;14;14;0,686318;0,000000
